mmr,train_size,test_size,roc_auc
5000+,56638,4186,0.623
2000-,231554,17426,0.650
2000,140133,10540,0.651
2100,154977,11696,0.659
2200,170684,12820,0.663
2300,187316,13894,0.658
2400,203866,15147,0.660
2500,221736,16593,0.655
2600,239561,18146,0.652
2700,256199,19476,0.655
2800,273247,20805,0.652
2900,289266,21970,0.654
3000,303203,23023,0.654
3100,313626,23982,0.651
3200,319169,24264,0.650
3300,318402,24170,0.650
3400,312028,23449,0.652
3500,299692,22381,0.652
3600,282821,21064,0.656
3700,262617,19529,0.652
3800,240073,17943,0.652
3900,218003,16213,0.651
4000,244905,18333,0.651
4100,218093,16288,0.650
4200,192634,14314,0.650
4300,168113,12646,0.646
4400,145130,10959,0.636
4500,148685,11216,0.636
4600,124838,9335,0.637
4700,103110,7799,0.632
4800,83970,6371,0.629
4900,67439,5037,0.633
5000,53463,3955,0.625
